fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,04,ASSAM,0429,HOJAI,1126211,251.5414028426,25,286,246.002871585,10976,0,14306,699993,120878,20751,33755,5515,0,2006.775083585,27061,36127,90303,156615,6,159697,253533,25282,1760.772212,369063,93,26.42,5.74,99.93,NA
2024-2025,Oct,04,ASSAM,0430,CHARAIDEO,718510,250.927218678123,22,31,146.124024475,1202,0,1943,230430,2254,1195,4578,1910,0,724.335614475,10191,12502,42041,70593,58,83629,128485,3145,578.21159,129791,64,72.13,6.61,99.99,NA
2024-2025,Oct,04,ASSAM,0435,TAMULPUR,1196479,243.687413987597,24,7,296.68026506,6153,0,22669,523907,64359,16705,246449,52004,0,1573.37568506,21301,28525,63226,127817,1,123713,217323,28822,1276.69542,309289,94,34.72,2.13,100.77,NA
2024-2025,Oct,04,ASSAM,0404,GOALPARA,1233372,247.532556905156,28,42,145.54968984,14877,0,14060,974033,23943,6886,211966,47184,0,2556.59847984,33973,47780,110761,222095,28,219506,392183,28937,2411.04879,507205,93,64.92,2.62,100.03,NA
2024-2025,Oct,04,ASSAM,0416,SIVASAGAR,1888355,251.010079045285,25,95,194.497049831,4947,0,9019,907328,50688,8555,140305,14231,0,2471.981779831,35557,49651,83948,163200,108,126120,224706,13966,2277.48473,494096,81,47.28,17.86,99.98,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,250.400915548664,20,69,526.043265991001,6866,0,7427,887446,41433,7705,97361,25558,0,2748.216174991,42412,54228,129073,228773,226,206336,331046,14293,2222.172909,538946,77,57.98,6.71,99.91,NA
2024-2025,Oct,04,ASSAM,0419,KARBI ANGLONG,1108513,249.07268370374,35,27,153.810204492999,7509,1,14285,1371284,39741,9155,1121682,125164,0,3569.304064493,38730,46528,91442,168429,72,153533,261740,21794,3415.49386,882895,79,48.42,35.57,100.08,NA
2024-2025,Oct,04,ASSAM,0424,BAKSA,1720116,248.213399151802,33,88,206.785017438,12050,0,29088,1603400,75269,7722,770388,77061,0,4186.638659438,48526,59058,98307,169921,35,168266,273855,41138,3979.853642,1038496,95,30.22,0.83,100.03,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,248.27229838509,32,188,552.078117712,7709,0,18547,1466521,118959,14210,266472,35035,0,4193.043510712,45488,63366,103209,175396,101,150299,234371,26256,3640.965393,831880,89,43.19,12.65,100.06,NA
2024-2025,Oct,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,571370,242.965165452779,22,30,597.143105278999,5467,0,26967,499085,9112,1003,1825,700,0,1809.745801279,22436,25244,77582,100430,0,139292,170889,32434,1212.602696,233203,97,10.34,0.42,99.22,NA
2024-2025,Oct,04,ASSAM,0432,MAJULI,535047,248.564772499275,28,20,36.568519,3333,0,6821,403713,48603,5531,187199,22992,0,1040.056819,14088,20961,28809,47773,39,34660,55039,10154,1003.4883,192394,94,25.35,9.35,99.94,NA
2024-2025,Oct,04,ASSAM,0433,BAJALI,374082,246.639548031441,27,29,185.593544936,6740,0,3314,255593,6366,2178,4660,2064,0,815.986964936,9406,13649,40834,85267,4,65104,123523,10054,630.39342,133211,92,28.44,0.5,99.63,NA
2024-2025,Oct,04,ASSAM,0435,TAMULPUR,1196479,244.745074657523,24,7,296.68026506,6282,0,22564,525801,64536,16691,247444,51916,0,1583.55231506,21341,28584,63237,127611,1,123720,217072,28846,1286.87205,310455,94,34.62,2.12,100.78,NA
2024-2025,Oct,04,ASSAM,0406,NALBARI,1402051,250.417727715714,23,27,323.088931248,15197,0,13479,930667,35817,7181,23643,4383,0,2653.644085248,39806,55012,115804,202934,43,177367,292118,28676,2330.555154,488289,89,36.75,15.83,99.99,NA
2024-2025,Oct,04,ASSAM,0407,KAMRUP,2190238,252.27315991137,32,53,191.492944334,10714,0,22973,1648657,125550,22142,205262,42504,0,4350.612054334,50518,68161,165248,322691,169,361772,652832,33687,4159.11911,872925,93,31.85,26.83,99.96,NA
2024-2025,Oct,04,ASSAM,0418,TINSUKIA,1752258,256.067496641918,22,24,126.346938475,5900,0,8856,626846,13017,2780,69387,16611,0,1731.495798475,28426,34574,105750,169738,24,201728,286512,14756,1605.14886,374184,80,57.12,4.96,100.05,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,246.856007056607,32,188,552.078117712,7614,0,18618,1459625,118846,14210,265307,35026,0,4155.250110712,45349,63157,103172,175348,98,150228,234297,26232,3603.171993,827266,89,43.12,12.68,100.06,NA
2024-2025,Oct,04,ASSAM,0432,MAJULI,535047,248.012983139071,28,20,36.568519,3307,0,6839,402291,48487,5531,186621,23012,0,1034.302429,14059,20919,28872,47828,39,34726,55095,10146,997.73391,191817,94,25.43,9.38,99.94,NA
2024-2025,Oct,04,ASSAM,0435,TAMULPUR,1196479,244.742475699062,24,7,296.68026506,6215,0,22631,525597,64525,16699,247372,52007,0,1583.03937506,21337,28580,63237,127768,1,123713,217228,28846,1286.35911,310282,94,34.63,2.12,100.78,NA
2024-2025,Oct,04,ASSAM,0410,LAKHIMPUR,2367740,248.781349018994,26,49,453.273847167,10080,0,29140,1073847,64742,15312,338379,78732,0,3124.804900167,40474,61649,140605,297005,85,228374,445410,39220,2671.531053,569811,92,46.96,5.17,99.92,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,248.808601875017,21,70,549.631013723001,6885,0,7473,909325,42221,7705,99135,25574,0,2812.109832723,43156,55211,129181,228908,247,206316,330930,14358,2262.478819,552463,77,58.03,6.63,99.9,NA
2024-2025,Oct,04,ASSAM,0418,TINSUKIA,1752258,250.924371323869,22,25,206.799850158,6036,0,8820,661191,13694,2786,72339,16612,0,1865.889210158,29663,36042,105958,170035,29,201596,286427,14856,1659.08936,394794,80,57.76,4.94,100.07,NA
2024-2025,Oct,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,571370,244.361657066799,22,30,597.143105278999,5945,0,26522,509382,9456,1003,1825,700,0,1841.877401279,22760,25647,77664,100570,0,139476,171100,32467,1244.734296,237488,97,10.26,0.42,99.24,NA
2024-2025,Oct,04,ASSAM,0425,CHIRANG,1518528,245.560720617711,32,24,801.88092277,15761,0,19371,743390,44900,10352,425481,75897,0,2627.35476377,23069,32113,78411,162552,24,130085,258200,35132,1825.473841,427328,93,19.35,1.77,99.98,NA
2024-2025,Nov,04,ASSAM,0416,SIVASAGAR,1967471,250.406577607125,25,98,194.497049831,4966,0,9265,937575,52103,8558,143902,14263,0,2542.246519831,36131,50572,84065,163426,122,126148,224800,14231,2347.74947,510307,81,47.3,17.67,99.98,NA
2024-2025,Nov,04,ASSAM,0422,HAILAKANDI,1902208,258.888633742814,30,85,472.512952972,7690,0,14701,1918204,118508,15596,13622,2473,0,5438.525080972,63586,85920,122792,216203,21,171235,276228,22391,4966.012128,747254,87,64.96,4.25,99.96,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,252.051707716008,28,35,36.05828316,24783,0,31366,809473,87584,13666,12756,3221,0,2076.34880316,28105,30141,149876,193090,1,354761,432194,56149,2040.29052,347640,94,16.56,3.88,101.65,NA
2024-2025,Nov,04,ASSAM,0424,BAKSA,1764230,247.876521017649,33,88,216.671457677,12202,0,29141,1648781,76890,7734,796189,77203,0,4303.612439677,49061,59824,98449,170191,46,168332,274034,41343,4086.940982,1067897,95,30.29,0.85,100.03,NA
2024-2025,Nov,04,ASSAM,0425,CHIRANG,1583925,249.872269246725,32,25,1038.610118922,15926,0,19587,800292,47372,10389,463394,76152,0,3038.317899922,24473,34184,78600,162987,32,130106,258282,35513,1999.707781,460787,94,21.37,2.11,99.99,NA
2024-2025,Nov,04,ASSAM,0430,CHARAIDEO,750677,248.857402194754,23,31,148.914027075,1256,0,1946,245130,2409,1195,4794,1907,0,758.938177075,10541,12985,41992,70413,63,83532,128241,3202,610.02415,137935,64,71.39,6.33,100,NA
2024-2025,Nov,04,ASSAM,0403,BONGAIGAON,583762,259.357839758318,23,13,382.888245371,10917,0,13275,376032,35903,10746,4754,2224,0,1358.156717371,16047,22715,84399,176347,6,157522,315946,24192,975.268472,182187,94,29.98,3.16,99.97,NA
2024-2025,Nov,04,ASSAM,0414,GOLAGHAT,2369128,248.788563458713,26,73,685.346614887001,16100,0,17631,976178,66046,13782,180345,31607,0,3113.965837887,36645,49680,131955,240784,184,215745,376575,33731,2428.619223,519821,93,19.68,19.66,99.99,NA
2024-2025,Nov,04,ASSAM,0420,Dima Hasao,357712,243.945649994083,27,7,88.063492871,893,0,4473,160563,2735,571,146096,40887,0,479.749946871,5822,7391,20808,44533,10,35158,71539,5366,391.686454,68244,82,59.8,5.02,100.48,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,251.145031467091,28,35,36.05828316,25174,0,31034,820222,88594,13614,13660,3217,0,2096.00508316,28342,30411,148926,191845,1,353667,430775,56208,2059.9468,352822,94,16.46,3.88,101.63,NA
2024-2025,Nov,04,ASSAM,0432,MAJULI,551061,246.916127635582,29,21,36.568519,3567,0,6804,420353,50603,5494,197498,22976,0,1074.487869,14328,21359,28657,47622,44,34384,54803,10371,1037.91935,200341,94,24.67,9.21,99.94,NA
2024-2025,Nov,04,ASSAM,0407,KAMRUP,2260482,250.887459129895,33,54,191.492944334,11406,0,22746,1709379,130871,22091,211967,42438,0,4480.110484334,51698,69848,165331,322213,195,361452,651640,34152,4288.61754,905508,93,31.91,26.61,99.96,NA
2024-2025,Nov,04,ASSAM,0412,Morigaon,1839772,256.540498634226,26,43,304.411926763,22843,0,18884,1104136,133203,28301,159951,33542,0,3136.967926763,41663,59146,145423,260441,18,230347,377652,41727,2832.556,575612,94,33.28,23.85,100.49,NA
2024-2025,Nov,04,ASSAM,0416,SIVASAGAR,1967471,250.700213882405,25,98,194.497049831,4966,0,9237,932288,51876,8558,142758,14256,0,2531.745059831,35983,50358,84053,163392,122,126148,224790,14203,2337.24801,507309,81,47.4,17.67,99.97,NA
2024-2025,Nov,04,ASSAM,0417,DIBRUGARH,2221039,249.403945689842,21,71,732.705224445,6944,0,7472,928887,43630,7711,100436,25580,0,3049.386053445,43778,56011,129223,228910,270,206295,330827,14416,2316.680829,564286,77,58.16,6.63,99.91,NA
2024-2025,Nov,04,ASSAM,0420,Dima Hasao,357712,246.15791581884,27,7,86.591612051,893,0,4414,156282,2729,572,142564,40873,0,471.292126051,5741,7284,20792,44508,9,35151,71530,5307,384.700514,66399,82,60.47,4.87,100.49,NA
2024-2025,Nov,04,ASSAM,0426,KAMRUP (METRO),417200,252.067299635086,35,0,34.556899644,2587,0,3005,147980,40284,7669,35086,9954,0,407.566089644,4139,5031,16153,33803,3,51352,95282,5592,373.00919,88397,93,21.38,1.18,101.44,NA
2024-2025,Nov,04,ASSAM,0429,HOJAI,1166406,250.695360902957,26,297,255.878824385,11500,0,13940,718351,122955,20750,34876,5540,0,2056.751456385,27562,36913,90386,156874,7,159723,253726,25440,1800.872632,378152,93,26.11,5.68,99.93,NA
2024-2025,Nov,04,ASSAM,0430,CHARAIDEO,750677,250.051570870132,23,31,148.914027075,1249,0,1938,241745,2380,1195,4757,1907,0,753.401197075,10506,12935,41973,70393,63,83524,128232,3187,604.48717,136075,64,71.88,6.41,99.99,NA
2024-2025,Nov,04,ASSAM,0403,BONGAIGAON,583762,260.734774334314,23,12,382.888245371,10844,0,13345,373074,35811,10746,4754,2224,0,1355.621897371,15914,22524,84392,176348,6,157521,315960,24189,972.733652,180629,94,30.05,3.18,99.98,NA
2024-2025,Nov,04,ASSAM,0404,GOALPARA,1264770,248.517745945542,29,42,263.68829244,14965,0,14137,1003525,24256,6840,218279,47082,0,2757.62600244,34299,48325,110455,220939,30,219168,390852,29102,2493.93771,522126,93,64.62,2.7,100.02,NA
2024-2025,Nov,04,ASSAM,0415,JORHAT,2018189,251.000008719157,24,35,110.439841453,4532,0,6622,836090,57486,8147,102249,10743,0,2209.025814353,34704,39311,87112,132554,117,169765,237373,11154,2098.5859729,530348,80,56.95,10.87,100.04,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,251.232928814799,28,35,36.05828316,25023,0,31162,815043,88049,13626,12860,3211,0,2083.71468316,28217,30265,149267,192293,1,354071,431301,56185,2047.6564,350213,94,16.51,3.86,101.65,NA
2024-2025,Nov,04,ASSAM,0427,UDALGURI,2847478,246.990975461619,35,50,1125.723006343,22854,0,30672,2168399,92773,12116,1002857,111834,0,6481.472848343,60332,80449,144435,275622,154,235404,416388,53526,5355.749842,1303225,94,34.63,11.85,100.01,NA
2024-2025,Nov,04,ASSAM,0434,WEST KARBI ANGLONG,432969,250.389379168522,27,6,21.3574794,972,0,6555,181869,1067,1456,162216,39862,0,476.7381394,6688,8277,27960,54294,16,64384,115172,7527,455.38066,119551,93,67.69,3.96,98.96,NA
2024-2025,Nov,04,ASSAM,0407,KAMRUP,2260482,249.470999510865,33,56,191.492944334,11686,0,22878,1766384,134796,22011,220319,42320,0,4598.108764334,52946,71616,165014,320661,211,360790,649349,34564,4406.61582,936019,93,31.86,26.33,99.95,NA
2024-2025,Nov,04,ASSAM,0422,HAILAKANDI,1902208,256.803834330876,30,85,481.707054822,7701,0,14794,1985379,120988,15614,13819,2473,0,5580.236452822,64308,87240,123047,216668,21,171344,276468,22495,5098.529398,774585,87,65.27,4.21,99.96,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,250.474084170657,29,35,36.05828316,25338,0,30918,829030,89259,13585,14108,3219,0,2112.56358316,28490,30567,148249,190943,1,352909,429779,56256,2076.5053,356402,94,16.5,3.95,101.62,NA
2024-2025,Nov,04,ASSAM,0428,Biswanath,2616850,248.186178673142,33,206,810.871309129,7903,0,18608,1620445,125505,14251,290285,35140,0,4832.591832129,48481,67505,104229,176767,122,150673,235014,26511,4021.720523,920141,89,44.09,12.37,100.06,NA
2024-2025,Nov,04,ASSAM,0429,HOJAI,1166406,250.597468551889,26,299,264.653959985,12069,0,13426,730807,124921,20245,35520,5477,0,2096.037801985,27870,37359,89821,155644,7,158997,252285,25495,1831.383842,385173,93,25.79,5.76,99.92,NA
2024-2025,Nov,04,ASSAM,0404,GOALPARA,1264770,249.648922372301,28,42,263.68829244,14897,0,14117,986890,24152,6874,212851,47093,0,2727.44854244,34081,47958,110571,221794,29,219332,391883,29014,2463.76025,512979,93,64.94,2.61,100.02,NA
2024-2025,Nov,04,ASSAM,0405,BARPETA,1037766,248.072861307071,26,427,416.517485106,13617,0,9277,940668,59251,8628,9210,2347,0,2750.059508106,35211,50003,167621,283456,55,260837,424504,22894,2333.542023,442183,89,38.97,0.61,100.01,NA
2024-2025,Nov,04,ASSAM,0415,JORHAT,2018189,249.130165733417,23,34,110.439841453,4502,0,6516,817216,56230,8117,99161,10674,0,2146.371416653,34114,38613,86963,132318,116,169728,237302,11018,2035.9315752,518738,80,57.22,10.94,100.04,NA
2024-2025,Nov,04,ASSAM,0418,TINSUKIA,1836691,254.241259352286,22,25,292.682845324999,6230,0,8700,675236,14366,2786,73777,16634,0,2009.411355325,29988,36483,106010,170137,33,201617,286474,14930,1716.72851,403035,80,57.35,4.87,100.07,NA
2024-2025,Nov,04,ASSAM,0422,HAILAKANDI,1902208,258.54536057207,29,85,427.428153772,7650,0,14736,1897249,117249,15591,13443,2468,0,5332.677421772,63307,85510,122708,216048,20,171153,276056,22386,4905.249268,739373,87,64.89,4.06,99.96,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,251.930325749251,28,33,36.05828316,23469,0,32520,790823,85698,13724,12698,3244,0,2028.38124316,27648,29643,151067,194825,1,356376,434536,55989,1992.32296,338796,94,16.23,3.78,101.68,NA
2024-2025,Nov,04,ASSAM,0424,BAKSA,1764230,247.716257989898,33,88,216.671457677,12140,0,29112,1625490,75897,7730,782800,77158,0,4243.274459677,48859,59535,98386,170096,37,168311,273986,41252,4026.603002,1052119,95,30.28,0.83,100.03,NA
2024-2025,Nov,04,ASSAM,0433,BAJALI,382373,247.561215225236,27,29,185.593544936,6773,0,3304,257730,6424,2145,4660,2036,0,823.633064936,9436,13701,40800,84688,6,64977,122728,10077,638.03952,134191,92,28.23,0.5,99.62,NA
2024-2025,Nov,04,ASSAM,0434,WEST KARBI ANGLONG,432969,252.049700066528,27,6,6.9964125,854,0,6578,178873,1018,1450,159778,39801,0,457.8452725,6573,8149,27904,54196,16,64354,115124,7432,450.84886,117555,93,68.11,3.82,98.95,NA
2024-2025,Nov,04,ASSAM,0401,DHUBRI,1403913,251.423714629778,24,69,1011.570238298,12315,0,16836,1472319,15068,2856,1475,310,0,4713.329359298,59503,83592,200530,370007,37,377961,651289,29151,3701.759121,728961,83,25.62,23.78,100.25,NA
2024-2025,Nov,04,ASSAM,0403,BONGAIGAON,583762,260.564459724746,23,13,382.888245371,11241,0,12981,383064,36630,10744,5069,2224,0,1381.016887371,16192,22945,84433,176288,6,157535,315843,24222,998.128642,185586,94,29.55,3.1,99.97,NA
2024-2025,Nov,04,ASSAM,0422,HAILAKANDI,1902208,258.241391436044,31,86,481.707054822,7787,0,14879,2067993,124434,15632,14384,2476,0,5822.120952822,65581,89044,123381,217196,22,171429,276694,22666,5340.413898,805664,87,65.14,4.22,99.98,NA
2024-2025,Nov,04,ASSAM,0404,GOALPARA,1264770,246.677304499697,29,51,343.424036666,15177,0,14222,1037492,25025,6829,234071,47310,0,2902.681336666,34963,49389,110331,220663,36,218960,390195,29399,2559.2573,541532,93,63.4,2.85,100.02,NA
2024-2025,Nov,04,ASSAM,0410,LAKHIMPUR,2464136,250.036120753543,27,61,718.268633565,10657,0,29404,1195526,72268,15174,376239,77460,0,3707.515466565,43601,66732,139763,293623,135,226446,440196,40061,2989.246833,633963,92,47.06,5.17,99.94,NA
2024-2025,Nov,04,ASSAM,0403,BONGAIGAON,583762,259.573122323628,23,13,517.086169061,11612,0,12648,391388,37159,10747,5089,2224,0,1533.024221061,16315,23160,84460,176301,7,157544,315825,24260,1015.938052,189573,94,29.59,3.03,99.98,NA
2024-2025,Nov,04,ASSAM,0413,NAGAON,2503508,249.739860797411,28,233,1172.012889911,19002,0,18676,2486448,150904,18421,72159,11564,0,7381.664663911,87730,120164,218183,355056,272,379507,556752,37678,6209.651774,1307324,89,30.27,20.72,99.98,NA
2024-2025,Nov,04,ASSAM,0417,DIBRUGARH,2221039,250.05353101783,21,81,742.631035445,7249,0,7398,998055,46550,7731,109649,25646,0,3238.302804445,45887,58923,129421,229271,317,206309,330814,14647,2495.671769,605766,77,58.29,6.62,99.92,NA
2024-2025,Nov,04,ASSAM,0419,KARBI ANGLONG,1109856,248.481746064123,35,29,231.439365372999,8418,1,15034,1446247,42479,9143,1184647,123643,0,3825.099163373,40473,48909,91015,166712,118,152345,258515,23452,3593.659798,929681,81,46.81,34.1,100.06,NA
2024-2025,Nov,04,ASSAM,0421,KARIMGANJ,2471677,244.972618398219,25,33,849.733451681999,21877,0,22268,1173244,176871,23143,15930,1749,0,3723.859998682,46448,54451,134645,180013,211,222431,278753,44145,2874.126547,540235,96,57.78,4.58,99.95,NA
2024-2025,Nov,04,ASSAM,0426,KAMRUP (METRO),417200,250.663682663026,35,0,55.292906944,2677,0,3041,152368,41998,7757,35858,9955,0,437.224146944,4340,5246,16254,33897,4,51345,95226,5718,381.93124,90642,94,21.08,1.16,101.42,NA
2024-2025,Nov,04,ASSAM,0427,UDALGURI,2847478,248.81742040956,36,53,1168.063418595,23524,0,30497,2233277,94913,12136,1036156,112103,0,6724.845640595,61319,81886,144685,276191,183,235667,416902,54021,5556.782222,1342309,94,34.29,11.87,100.01,NA
2024-2025,Nov,04,ASSAM,0428,Biswanath,2616850,248.648112680567,33,208,910.68548791,8638,0,18015,1661298,130108,14255,298721,35209,0,5041.47161091,48925,68226,104347,177003,132,150865,235314,26653,4130.786123,944062,89,44.29,12.17,100.08,NA
2024-2025,Nov,04,ASSAM,0411,DHEMAJI,2724365,249.620549623788,35,173,1146.100577982,22470,0,31788,2569030,132077,15137,1371000,132640,0,7558.927383982,72371,111273,128301,291814,468,195910,409752,54258,6412.826806,1518849,93,49.83,1.08,100.09,NA
2024-2025,Nov,04,ASSAM,0414,GOLAGHAT,2369128,248.189258904508,27,75,685.346614887001,16770,0,17135,1020017,67685,13754,193523,31603,0,3216.919247887,37442,50861,131933,240588,203,215616,376204,33905,2531.572633,542434,93,19.59,19.87,100.03,NA
2024-2025,Nov,04,ASSAM,0415,JORHAT,2018189,250.465305707011,24,35,110.439841453,4720,0,6529,873925,59879,8167,108701,10819,0,2299.318764353,35462,40187,87299,132886,132,169874,237600,11249,2188.8789229,554870,80,56.94,10.74,100.04,NA
2024-2025,Nov,04,ASSAM,0419,KARBI ANGLONG,1109856,248.778155766865,35,29,231.439365372999,8587,1,14924,1450424,42531,9144,1188471,123412,0,3839.777443373,40525,48979,90964,166498,128,152188,258103,23511,3608.338078,932480,81,46.78,34.01,100.06,NA
2024-2025,Nov,04,ASSAM,0421,KARIMGANJ,2471677,246.997368854738,25,33,849.733451681999,23164,0,21043,1183249,179378,23094,15942,1749,0,3772.327348682,46613,54674,134614,179882,215,222361,278572,44207,2922.593897,544863,96,56.15,4.62,99.95,NA
2024-2025,Nov,04,ASSAM,0423,CACHAR,2021656,251.251737215381,29,37,36.05828316,27011,0,29541,878849,94437,13567,14959,3145,0,2244.18166316,29903,32144,146663,188714,1,350789,426908,56552,2208.12338,377865,94,16.56,4.02,101.52,NA
2024-2025,Nov,04,ASSAM,0429,HOJAI,1166406,250.216442224728,26,306,288.413681785,14251,0,11338,755652,128905,19765,36739,5374,0,2179.179231785,28268,38044,88917,151712,8,158020,248240,25589,1890.76555,397401,93,25.51,5.93,99.93,NA
2024-2025,Nov,04,ASSAM,0430,CHARAIDEO,750677,250.130181645239,23,34,148.914027075,1347,0,1919,260728,2587,1195,5114,1907,0,801.073447075,11070,13659,42088,70599,72,83580,128334,3266,652.15942,146684,64,71.37,6.05,100.01,NA
2024-2025,Nov,04,ASSAM,0432,MAJULI,551061,244.464631697608,30,21,71.386158,3999,0,6736,454192,54670,5129,217819,21988,0,1181.724958,14795,22203,27005,44791,56,32559,51756,10735,1110.3388,216453,95,23.85,9.1,100.02,NA
2024-2025,Nov,04,ASSAM,0433,BAJALI,382373,246.996956480695,27,30,185.593544936,6911,0,3217,264825,6559,2082,4738,1853,0,839.703234936,9551,13866,40353,81511,8,63874,118293,10128,654.10969,137878,92,29.24,0.52,99.67,NA
2024-2025,Nov,04,ASSAM,0405,BARPETA,1037766,249.703868344623,27,428,416.517485106,13818,0,9243,973724,61975,8603,9288,2340,0,2847.943980106,35723,50809,167647,283533,61,261059,424842,23061,2431.426495,456398,89,38.54,0.66,100.01,NA
2024-2025,Nov,04,ASSAM,0411,DHEMAJI,2724365,249.432729284291,35,173,1023.306599207,22307,0,31375,2539860,131243,15200,1355116,132719,0,7358.548717207,71907,110466,128294,292854,448,195916,410718,53682,6335.242118,1501922,92,50.24,1.08,100.08,NA
2024-2025,Nov,04,ASSAM,0416,SIVASAGAR,1967471,251.1687666957,26,98,194.497049831,5006,0,9491,959828,53649,8570,147993,14340,0,2605.285199831,36557,51321,84167,163606,127,126184,224860,14497,2410.78815,521910,81,47.1,17.83,100.01,NA
2024-2025,Nov,04,ASSAM,0420,Dima Hasao,357712,246.21317356581,28,7,88.063492871,893,0,4592,165407,2735,571,150743,40906,0,495.317316871,5901,7530,20823,44555,10,35172,71559,5485,407.253824,70141,82,59.17,4.88,100.46,NA
2024-2025,Nov,04,ASSAM,0428,Biswanath,2616850,248.927573740547,33,208,864.78113711,8022,0,18503,1628107,125917,14252,291457,35156,0,4917.58839011,48558,67641,104256,176831,123,150719,235096,26525,4052.807253,924745,89,44.15,12.37,100.06,NA
